Model,cosine_similarity,euclidean_distance,manhattan_distance,minkowski_distance,correlation_coefficient,TOPSIS_Score
sentence-transformers/paraphrase-MiniLM-L6-v2,0.0,0.40923098,0.28101754,0.4258907480154998,0.0,1.7876088068915996
microsoft/mpnet-base,0.99044716,0.0,0.0,0.0,0.9902750432216927,1.7321044516621888
squeezebert/squeezebert-uncased,0.8671684,0.019993808,0.022505503,0.014153546942802046,0.8671258412614749,1.7097077602558923
roberta-base,1.0,0.055841833,0.054861832,0.05149478852068801,1.0,1.6384086595488798
allenai/longformer-base-4096,0.9994491,0.06777984,0.06621929,0.06308530441373103,0.9994475817545441,1.6182677755985877
vinai/phobert-base,0.93043125,0.08255775,0.08369588,0.07426801565267781,0.9279923381176137,1.5963452437020687
google/electra-small-discriminator,0.9062845,0.14667544,0.055560485,0.185284746988032,0.9045986980859265,1.5171597647533828
distilbert-base-uncased,0.9354262,0.17142649,0.18669899,0.14968213673974926,0.9353076550385847,1.4420083024803896
bert-base-uncased,0.89613646,0.25622678,0.2691612,0.2314626191460914,0.89593294626647,1.3036837258619087
deepset/sentence_bert,0.62377334,0.8818207,0.92236984,0.809787557428835,0.6231601779109568,0.5828621803533567
facebook/bart-base,0.890764,1.0,1.0,1.0,0.8904206786872414,0.15472598936636836
